heading,link,time,source
UG Admission 2024-2025,https://home.iitd.ac.in/ug-admissions.php,,IIT-DELHI
"Corrigendum for EOI for Extreme Cold Weather Clothing: ""The last date for issuing of EOI is extended till 10th June 2024 (Monday) and the last date for submission of filled Expression of Interest (EOI) is extended till 20th June 2024 (Thursday) by 05:00
PM.""",https://home.iitd.ac.in/uploads/announcements/Extreme Cold Weather Clothing (English)-29may.pdf,,IIT-DELHI
"Corrigendum for EOI for Extreme Heat Protective Clothing: 
			 The last date for issuing of EOI is extended till 31st May 2024 (Friday), and the last date for submission of filled Expression of Interest (EOI) is extended till 10th June 2024 (Monday)  by 05:00 PM.",https://home.iitd.ac.in/uploads/announcements/2024-04-23-Advt-10x9cm.pdf,,IIT-DELHI
"Department of Management Studies
launches 2 Year Executive MBA Program.",https://dms.iitd.ac.in/executive-mba/,,IIT-DELHI
EOI for Extreme Heat Protective Clothing,https://home.iitd.ac.in/uploads/announcements/2024-04-23-Advt-10x9cm.pdf,,IIT-DELHI
"PG Admissions (Semester 1, 2024-2025) for PG/PhD programmes",https://home.iitd.ac.in/pg-admissions.php,,IIT-DELHI
"Rules, Charges and Form for Visiting Students (UG)",https://home.iitd.ac.in/uploads/announcements/Rules & Charges for Visiting Students (Undergraduate)_13May24.pdf,,IIT-DELHI
List of students provisionally selected for Summer Research Fellowship Programme-2024,https://home.iitd.ac.in/uploads/announcements/SRF Selection List 2024_14May2024.pdf,,IIT-DELHI
Hostel related information,https://home.iitd.ac.in/pg-admissions.php#hostel,,IIT-DELHI
"Lists of selected participants for Astronomy Olympiad Exposure Camp (AOEC) 2024 at SVYM, Mysuru",https://olympiads.hbcse.tifr.res.in/announcements/lists-of-selected-participants-for-astronomy-olympiad-exposure-camp-aoec-at-svym-for-teachers-2024/,na,HBCSE Olympiads
Lists of selected participants for Astronomy Olympiad Exposure Camp (AOEC) 2024 at HBCSE,https://olympiads.hbcse.tifr.res.in/announcements/lists-of-selected-participants-for-astronomy-olympiad-exposure-camp-aoec-for-teachers-2024/,na,HBCSE Olympiads
Astronomy Olympiad Exposure Camps 2024,https://olympiads.hbcse.tifr.res.in/announcements/astronomy-olympiad-exposure-camps-2024/,na,HBCSE Olympiads
"Guidelines for conducting IA and Project Examinations with the Supplementary Examinations, 2024-reg (159 KB)  04/07/2024",https://www.cbse.gov.in/cbsenew/documents/Guidelines_IA_Project_Examination_04072024.pdf,04/07/2024,CBSE
Extension of timeline for submission of applications for the session 2025-26 in SARAS 5.0 reg (733 KB)  29/06/2024,https://saras.cbse.gov.in/SARAS/Circulars/Circular10_2024638552653270090283.pdf,29/06/2024,CBSE
"Virtual Workshops for CBSE School Leaders, Teachers, Counselors, Parents, and Students (July 2024) (1.18 MB)  25/06/2024",https://www.cbse.gov.in/cbsenew/documents/Notification_Virtual_Workshops_25062024.pdf,25/06/2024,CBSE
Date Sheet for Supplementary Exam 2024 | Class X (2.68 MB)  | Class XII (2.95 MB)  21/06/2024,https://www.cbse.gov.in/cbsenew/documents/Supplementary_Date_Sheet_Class_X_2024_07062024_Final_21062024.pdf,21/06/2024,CBSE
DO Letter from Secretary of School Education & Literacy for International Yoga Day 2024 (1.50 MB)  20/06/2024,https://www.cbse.gov.in/cbsenew/documents/DO_Letter_Yoga_Day_20062024.pdf,20/06/2024,CBSE
"Opening of National Scholarship Portal (NSP) to submit applications (Fresh/Renewal) under NMMSS for AY 2024-25 (w.e.f. 30th June 2024 onwards)  (Tuesday,02-July-2024 ) - (78.69 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2030218.pdf ,"Tuesday,02-July-2024",Education Ministry
"Office order regarding closure / merger of the Directorate of Adult Education (DAE) and abolition of posts as per approval of the M/O Finance  (Tuesday,02-July-2024 ) - (2.89 MB)",https://www.education.gov.in/sites/upload_files/mhrd/files/dae_240424.pdf ,"Tuesday,02-July-2024",Education Ministry
"Ministry of Education entrusts the matter of alleged irregularities in NEET (UG) Examination 2024 to CBI for comprehensive investigation  (Saturday,22-June-2024 ) - (63.5 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2028065.pdf ,"Saturday,22-June-2024",Education Ministry
"Ministry of Education constitutes a High-Level Committee of Experts to ensure transparent, smooth and fair conduct of examinations  (Saturday,22-June-2024 ) - (85.61 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2027892.pdf ,"Saturday,22-June-2024",Education Ministry
"Corrigendum || cum Addendum to web Advertisement no. IIMM/BS/DIR/2024 dated 06th June 2024 for the position of Director (IIM Mumbai)  (Tuesday,25-June-2024 ) - (198.93 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/C1_C2.pdf ,"Tuesday,25-June-2024",Education Ministry
Constitution of a High Level Committee of Experts - National Testing Agency (NTA)   - (1.97 MB),https://www.education.gov.in/sites/upload_files/mhrd/files/NTA_Committee_Order.pdf,Not Available,Education Ministry
"Extension of tenure of Ms. Neeta Prasad, Joint Secretary as part time CVO, Ministry of Education   - (219.87 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/cvo_moe.pdf,Not Available,Education Ministry
"International Conference on ""Perspectives & Innovations in Open and Distance Learning.",https://www.nios.ac.in/media/documents/CBC/NIOS_CEMCA.pdf,Not available,NIOS
"Background Note of ""Ease of Schooling"" session by DoSE&L.",https://nios.ac.in/media/documents/Ease_of_Schooling_compressed.pdf,Not available,NIOS
"INDICATIVE VACANCY NOTIFICATION (NIOS/RC/04/2023) FOR VARIOUS GROUP-A,B & C POSTS.",https://www.nios.ac.in/vacancy.aspx,Not available,NIOS
Notification-10/2023 dt. 25/07/2023 by Academic deptt. regarding  redcution in curriculum at both Secondary & Sr. Secondary level.,https://www.nios.ac.in/media/documents/notification/yr2023/Admission/Notification-10-2023.pdf, 25/07/2023,NIOS
Notification-58/2023 dt. 25/08/2023 regarding Date Sheet of NIOS Public Examination (Theory) of Secondary & Sr. Secondary for October-2023.,https://www.nios.ac.in/media/documents/notification/yr2023/Exam/Notification-58-2023.pdf, 25/08/2023,NIOS
Notification-10/2023 dt. 03/08/2023 by Academic Deptt regarding introduction of two new courses in Punjabi medium at Secondary level.,https://www.nios.ac.in/media/documents/notification/yr2023/Misc/Notification-10-2023.pdf, 03/08/2023,NIOS
Recruitment for the post of Junior Traslation Officer on Direct Recruitment basis(Last Date: 26/07/24),https://www.niepa.ac.in/non_teaching_per.aspx,Not Available,NIEPA
"Status of Professor & Associate Professor Posts - Advt. A3/2023(The date of the Interview is scheduled for 22-23 July, 2024)",https://www.niepa.ac.in/teaching_per.aspx,Not Available,NIEPA
List of Shortlisted Candidates for Interview of MAED Admissions 2024-25,https://www.niepa.ac.in/download/2024/Admissions/MAED/MAED_result_entrance_test_2024-25.pdf,Not Available,NIEPA
Recruitment for post of Computer Programmer (Level 7) on Direct Recruitment basis(Last Date: 10/07/24),https://www.niepa.ac.in/non_teaching_per.aspx,Not Available,NIEPA
Vacancies On Various Regular And Project Based Jobs At NIEPA,https://www.niepa.ac.in/jobs.aspx,Not Available,NIEPA
NTA Declares the Final NTA Scores for Joint Entrance Examination (Main) – 2023 for Paper 1 (B.E./B.Tech.),https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2023/05/2023050259.pdf,Not Available,JEE Main NTA
Final Answer Key of JEE (Main) Session-2 2023 of Paper-1,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2023/04/2023042948.pdf,Not Available,JEE Main NTA
Alerts against fake information being provided on Social Media Platforms regarding Joint Entrance Examination (Main) – 2023 Session 2,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2023/03/2023032979.pdf,Not Available,JEE Main NTA
संयुक्त प्रवेश परीक्षा (मुख्य) – 2023 सत्र 2 के लिए ऑनलाइन आवेदन आमंत्रित करने के सम्बन्ध में,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2023/02/2023021528.pdf,Not Available,JEE Main NTA
"Public Notice regarding the Duplication for JEE (Main)-2023, Session 1",https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2023/01/2023012320.pdf,Not Available,JEE Main NTA
Urgent Attention to JEE (Main) – 2023 Candidates of Tamil Nadu State Board,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2022/12/2022122415-1.pdf,Not Available,JEE Main NTA
Release of the NTA Examination Calendar for Academic Year 2023-24,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2022/12/20221215100.pdf,Not Available,JEE Main NTA
Department: ME/M.TECH Subject: CAP Process is started for ME/M.TECH course A.Y. 2024-25,https://me2024.mahacet.org/StaticPages/HomePage,09/07/2024,MahaCET
Department: All Courses Subject: Important Notice: Updated Schedule for Centralized Admission Process A.Y. 2024-25,https://cetcell.mahacet.org/wp-content/uploads/2023/12/CAP-2024-25-Updated-Schedule.pdf,09/07/2024,MahaCET
Department: Higher Education Dept. Subject: CAP Process is started for L.L.B. (Five Year Integrated Course) & B.A.-B.Ed. / B.Sc.-B.Ed. (Integrated Course) course A.Y. 2024-25,#,08/07/2024,MahaCET
UG Admission 2024-2025,https://home.iitd.ac.in/ug-admissions.php,Not available,IIT-DELHI
"Corrigendum for EOI for Extreme Cold Weather Clothing: ""The last date for issuing of EOI is extended till 10th June 2024 (Monday) and the last date for submission of filled Expression of Interest (EOI) is extended till 20th June 2024 (Thursday) by 05:00
PM.""",https://home.iitd.ac.in/uploads/announcements/Extreme Cold Weather Clothing (English)-29may.pdf,Not available,IIT-DELHI
"Corrigendum for EOI for Extreme Heat Protective Clothing: 
			 The last date for issuing of EOI is extended till 31st May 2024 (Friday), and the last date for submission of filled Expression of Interest (EOI) is extended till 10th June 2024 (Monday)  by 05:00 PM.",https://home.iitd.ac.in/uploads/announcements/2024-04-23-Advt-10x9cm.pdf,Not available,IIT-DELHI
"Department of Management Studies
launches 2 Year Executive MBA Program.",https://dms.iitd.ac.in/executive-mba/,Not available,IIT-DELHI
EOI for Extreme Heat Protective Clothing,https://home.iitd.ac.in/uploads/announcements/2024-04-23-Advt-10x9cm.pdf,Not available,IIT-DELHI
"PG Admissions (Semester 1, 2024-2025) for PG/PhD programmes",https://home.iitd.ac.in/pg-admissions.php,Not available,IIT-DELHI
"Rules, Charges and Form for Visiting Students (UG)",https://home.iitd.ac.in/uploads/announcements/Rules & Charges for Visiting Students (Undergraduate)_13May24.pdf,Not available,IIT-DELHI
List of students provisionally selected for Summer Research Fellowship Programme-2024,https://home.iitd.ac.in/uploads/announcements/SRF Selection List 2024_14May2024.pdf,Not available,IIT-DELHI
Hostel related information,https://home.iitd.ac.in/pg-admissions.php#hostel,Not available,IIT-DELHI
"Lists of selected participants for Astronomy Olympiad Exposure Camp (AOEC) 2024 at SVYM, Mysuru",https://olympiads.hbcse.tifr.res.in/announcements/lists-of-selected-participants-for-astronomy-olympiad-exposure-camp-aoec-at-svym-for-teachers-2024/,Not available,HBCSE Olympiads
Lists of selected participants for Astronomy Olympiad Exposure Camp (AOEC) 2024 at HBCSE,https://olympiads.hbcse.tifr.res.in/announcements/lists-of-selected-participants-for-astronomy-olympiad-exposure-camp-aoec-for-teachers-2024/,Not available,HBCSE Olympiads
Astronomy Olympiad Exposure Camps 2024,https://olympiads.hbcse.tifr.res.in/announcements/astronomy-olympiad-exposure-camps-2024/,Not available,HBCSE Olympiads
"Public Notice : 2024 UK Commonwealth Masters Scholarship – Final Result  (Tuesday,09-July-2024 ) - (644.29 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/CMS24.pdf ,"Tuesday,09-July-2024",Education Ministry
Status of Professor & Associate Professor Posts - Advt. A3/2023,https://www.niepa.ac.in/teaching_per.aspx,Not Available,NIEPA
Department: B.P.Ed/ M.P.Ed/ B.Ed-M.Ed & M.Ed CET Subject: Normalisation Score for (B.P.Ed/M.P.Ed/B.Ed-M.Ed & M.Ed) CET 2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Percentile-Notice-_2024-BPEd_MPEd_B.ED-M.Ed-M.Ed_.pdf,09/07/2024,MahaCET 
Department: B.P.Ed/ M.P.Ed/ B.Ed-M.Ed & M.Ed CET Subject: Normalisation Score for (B.P.Ed/M.P.Ed/B.Ed-M.Ed & M.Ed) CET 2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Percentile-Notice-_2024-BPEd_MPEd_B.ED-M.Ed-M.Ed_.pdf,09/07/2024,MahaCET
Constitution of a High Level Committee of Experts - National Testing Agency (NTA)   - (1.97 MB),https://www.education.gov.in/sites/upload_files/mhrd/files/NTA_Committee_Order.pdf,Not available,Education Ministry
"Extension of tenure of Ms. Neeta Prasad, Joint Secretary as part time CVO, Ministry of Education   - (219.87 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/cvo_moe.pdf,Not available,Education Ministry
Recruitment for the post of Junior Traslation Officer on Direct Recruitment basis(Last Date: 26/07/24),https://www.niepa.ac.in/non_teaching_per.aspx,Not available,NIEPA
Status of Professor & Associate Professor Posts - Advt. A3/2023,https://www.niepa.ac.in/teaching_per.aspx,Not available,NIEPA
List of Shortlisted Candidates for Interview of MAED Admissions 2024-25,https://www.niepa.ac.in/download/2024/Admissions/MAED/MAED_result_entrance_test_2024-25.pdf,Not available,NIEPA
Recruitment for post of Computer Programmer (Level 7) on Direct Recruitment basis(Last Date: 10/07/24),https://www.niepa.ac.in/non_teaching_per.aspx,Not available,NIEPA
Vacancies On Various Regular And Project Based Jobs At NIEPA,https://www.niepa.ac.in/jobs.aspx,Not available,NIEPA
NTA Declares the Final NTA Scores for Joint Entrance Examination (Main) – 2023 for Paper 1 (B.E./B.Tech.),https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2023/05/2023050259.pdf,Not available,JEE Main NTA
Final Answer Key of JEE (Main) Session-2 2023 of Paper-1,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2023/04/2023042948.pdf,Not available,JEE Main NTA
Alerts against fake information being provided on Social Media Platforms regarding Joint Entrance Examination (Main) – 2023 Session 2,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2023/03/2023032979.pdf,Not available,JEE Main NTA
संयुक्त प्रवेश परीक्षा (मुख्य) – 2023 सत्र 2 के लिए ऑनलाइन आवेदन आमंत्रित करने के सम्बन्ध में,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2023/02/2023021528.pdf,Not available,JEE Main NTA
"Public Notice regarding the Duplication for JEE (Main)-2023, Session 1",https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2023/01/2023012320.pdf,Not available,JEE Main NTA
Urgent Attention to JEE (Main) – 2023 Candidates of Tamil Nadu State Board,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2022/12/2022122415-1.pdf,Not available,JEE Main NTA
Release of the NTA Examination Calendar for Academic Year 2023-24,https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2022/12/20221215100.pdf,Not available,JEE Main NTA
Recruitment for post of Computer Programmer (Level 7) on Direct Recruitment basis(Last Date: 17/07/24),https://www.niepa.ac.in/non_teaching_per.aspx,Not available,NIEPA
Recruitment for post of Computer Programmer (Level 7) on Direct Recruitment basis(Extended: 17/07/24),https://www.niepa.ac.in/non_teaching_per.aspx,Not available,NIEPA
Department: NEET MDS-2024 Subject: NOTICE NO – 01 : NEET MDS-2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.01-MDS-Registration-CAP-1-Schedule-1.pdf,10/07/2024,MahaCET
Department: BBA/BCA/BMS/BBM CET Subject: DATE OF EXAMINATION FOR ADDITIONAL CET FOR BBA/BCA/BMS/BBM COURSES – 2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.-3-CET-Date-for-BBA_BCA-CET-2024.docx.pdf,10/07/2024,MahaCET
Department: NEET MDS-2024 Subject: Information Brochure for NEET MDS 2024 CAP Process,https://drive.google.com/file/d/1UVXoc8umvh53F8pumKoc-XhM4Jz-t2is/view?usp=sharing,10/07/2024,MahaCET
"Swachhata Pakhwada, 2024 (1st to 15th September 2024)  (Thursday,11-July-2024 ) - (2.95 MB)",https://www.education.gov.in/sites/upload_files/mhrd/files/sp_do_2024.pdf ,"Thursday,11-July-2024",Education Ministry
"Notification for Online Assessment Test for Certificate Course on Fundamental and Tech. Analysis of Stocks including equity Research on 20/07/2024.-10 AM to 1 PM(Paper 1) & 3-6 PM (Paper 2) through DLH, Organized by CFMIP,ICAI-(03-07-2024)",https://resource.cdn.icai.org/80953cfmip65146.pdf,03-07-2024,ICAI
"Notification for Online Assessment Test (AT) for Certificate Course on Financial Markets and Securities Laws on 22nd June 2024. - 10:00 AM to 1:00 PM (Paper 1) & 3:00 PM to 6:00 PM (Paper 2) through DLH, Organized by CFMIP of ICAI-(04-06-2024)",https://resource.cdn.icai.org/80560cfmip64753.pdf,04-06-2024,ICAI
Notification for Online Assessment Test (AT) for Certificate Course on Forex and Treasury Management (FXTM) on 2nd June 2024. - 10:00 AM to 1:00 PM ( Paper 1) & 3:00 PM to 6:00 PM ( Paper 2) through Digital learning Hub. - (16-05-2024),https://resource.cdn.icai.org/80288cfmip64446.pdf,16-05-2024,ICAI
Notification for setting up of Branch of ICAI at Tonk District (Rajasthan) CIRC of ICAI - (13-05-2024),https://resource.cdn.icai.org/80237rba64388tonk.pdf,13-05-2024,ICAI
Name change of Aurangabad Branch to Chhatrapati Sambhajinagar Branch of WIRC of ICAI - (13-05-2024),https://resource.cdn.icai.org/80238rba64388Sambhajinagar.pdf,13-05-2024,ICAI
Detachment of Theni (Tamil Nadu) from the Jurisdiction of Madurai Branch of SIRC of ICAI - (13-05-2024),https://resource.cdn.icai.org/80239rba64388theni.pdf,13-05-2024,ICAI
Post Qualification Course on Information Systems Audit at Delhi (Physical) from 15 June 2024 to 21 July 2024 - (09-05-2024),https://resource.cdn.icai.org/80193daab64340.pdf,09-05-2024,ICAI
Notification for Online Eligibility Test (ET) for Post Qualification Course on Information Systems Audit on Saturday the 11th May 2024 (10:00 AM to 12:30 PM) - (11-04-2024),https://resource.cdn.icai.org/79836daab63884.pdf,11-04-2024,ICAI
Notification for Online Assessment Test (AT) for Certificate Course on Forensic Accounting and Fraud Detection on 04th May 2024 (Saturday) - (28-03-2024),https://resource.cdn.icai.org/79680daab63698.pdf,28-03-2024,ICAI
Notification dated 28.03.2024 for inclusion of Barnagar in the Jurisdiction of Ujjain Branch of CIRC - (28-03-2024),https://resource.cdn.icai.org/79686rba63701a.pdf,28-03-2024,ICAI
"Constitution of Education Advisory Council (EdAC) to Govt. of India  (Thursday,11-July-2024 ) - (661.37 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/const_edac.pdf ,"Thursday,11-July-2024",Education Ministry
List of selected ATAL FDP Proposals for 2024-25 Announced,https://www.aicte-india.org/sites/default/files/ATAL/Selected%20ATAL%20FDPs%202024-25C.pdf,"Friday, July 12, 2024",AICTE
"Department: MBA/MMS, M.Ed., B.Ed.-M.Ed, B.P.Ed., M.P.Ed. & NEET MDS Subject: CAP Process is started for MBA/MMS, M.Ed., B.Ed.-M.Ed, B.P.Ed., M.P.Ed. & NEET MDS course A.Y. 2024-25",https://drive.google.com/file/d/1UVXoc8umvh53F8pumKoc-XhM4Jz-t2is/view?usp=sharing,12/07/2024,MahaCET
CBSE gets affiliated with School Games Federation of India (111 KB)  12/07/2024,https://www.cbse.gov.in/cbsenew/documents/PRESS_RELEASE_SCHOOL_GAME_12072024.pdf,12/07/2024,CBSE
"Constitution of Education Advisory Council (EdAC) to Govt. of India  (Thursday,11-July-2024 ) - (480.63 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/const_edac.pdf ,"Thursday,11-July-2024",Education Ministry
Department: B.E./B.Tech. Subject: CAP Process is started for B.E./B.Tech. course A.Y. 2024-25,https://drive.google.com/file/d/1UVXoc8umvh53F8pumKoc-XhM4Jz-t2is/view?usp=sharing,14/07/2024,MahaCET
Final Result of Advertisement No. A2/2023,https://www.niepa.ac.in/download/recruitment/2024/ao/Final_result_AO_2024.pdf,Not available,NIEPA
List of Selected Candidates for MAED Admissions 2024-25,https://www.niepa.ac.in/download/2024/Admissions/MAED/Final_result_of_MAED_2024.pdf,Not available,NIEPA
Department: All Courses Under Technical Education Subject: Public Notice: Scrutiny Centers will remain open for Document verification of candidates on 17-07-2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice_FC_Working-on-17-July.pdf,16/07/2024,MahaCET
Admission Under PM Cares Scheme (02 Supernumerary seats per course per Institution),"https://www.aicte-india.org/sites/default/files/Letter%20to%20All%20Secretaries,%20TE%20-%20Dated%2016.07.2024.pdf","Thursday, July 18, 2024",AICTE
"Constitution of Education Advisory Council (EdAC) to Govt. of India  (Thursday,11-July-2024 ) - (480.63 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/Constitution_EdAC_order.pdf ,"Thursday,11-July-2024",Education Ministry
"Disclaimer : CBSE has not issued any such email regarding ""Free Teacher's Training on AI (Practicals) and Advance Python"" (249 KB)  18/07/2024",https://www.cbse.gov.in/cbsenew/documents/PR_Disclaimer_18072024.pdf,18/07/2024,CBSE
"Fixation of CBSE affiliated School as NIOS examination centres to be held from October-November, 2024-reg. (144 KB)  19/07/2024",https://www.cbse.gov.in/cbsenew/documents/NIOS_19072024.pdf,19/07/2024,CBSE
"Advertisement for the post of Vice Chancellor, Indira Gandhi National Open University (IGNOU)  (Saturday,20-July-2024 ) - (9.72 MB)",https://www.education.gov.in/sites/upload_files/mhrd/files/ignou_vc.pdf ,"Saturday,20-July-2024",Education Ministry
"APPLICATIONS ARE OPEN FOR THE BHARTI AIRTEL SCHOLARSHIP PROGRAM 2024-25! STUDENTS ENROLLED IN TECHNOLOGY-BASED ENGINEERING UG COURSES AND 5-YEAR INTEGRATED PROGRAMS IN THE TOP 50 NIRF ENGINEERING INSTITUTES, INCLUDING IITS, CAN APPLY TILL AUGUST 31, 2024.",https://www.buddy4study.com/page/bharti-airtel-scholarship,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE SCHAEFFLER INDIA SOCIAL INNOVATOR FELLOWSHIP PROGRAM 2024! APPLICANTS BELONGING TO THE AGE GROUP OF 18 TO 35 YEARS CAN APPLY TILL AUGUST 15, 2024.",https://www.buddy4study.com/page/schaeffler-india-social-innovator-fellowship-program,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE APPINVENTIV ‘EDU BOOST’ SCHOLARSHIP PROGRAM 2024-25! STUDENTS CURRENTLY IN THE FIRST YEAR OF THEIR B.TECH. OR BCA COURSES CAN APPLY TILL SEPTEMBER 30, 2024.",https://www.buddy4study.com/page/appinventiv-edu-boost-scholarship-program,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE UJJIVAN SMALL FINANCE BANK TRANSGENDER SCHOLARSHIP 2024-25! TRANSGENDER STUDENTS CURRENTLY STUDYING IN CLASSES 9 TO 12 OR PURSUING GRADUATION/POSTGRADUATION CAN APPLY TILL JULY 31, 2024.",https://www.buddy4study.com/page/ujjivan-small-finance-bank-transgender-scholarship,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE 'LIFE’S GOOD' SCHOLARSHIP PROGRAM 2024! STUDENTS PURSUING UNDERGRADUATE OR POSTGRADUATE COURSES AT SELECT INSTITUTES CAN APPLY TILL JULY 20, 2024.",https://www.buddy4study.com/page/life-s-good-scholarship-program,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE HDFC BANK PARIVARTAN'S ECSS PROGRAMME 2024-25! SCHOOL STUDENTS FROM CLASSES 1 TO 12 AND THOSE PURSUING DIPLOMA, ITI, POLYTECHNIC, UG, AND PG (GENERAL AND PROFESSIONAL) PROGRAMMES CAN APPLY TILL SEPTEMBER 4, 2024.",https://www.buddy4study.com/page/hdfc-bank-parivartans-ecss-programme,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE KOTAK KANYA SCHOLARSHIP 2024-25! GIRL STUDENTS WHO HAVE PASSED CLASS 12 AND ASPIRE TO PURSUE PROFESSIONAL GRADUATION COURSES CAN APPLY TILL SEPTEMBER 30, 2024.",https://www.buddy4study.com/page/kotak-kanya-scholarship,Not available,Buddy4study
